r1,r2,joint,p1,p2,p12,pmi,npmi
Asf,gDb,2,0.0008017960230917255,0.003367543296985247,0.00032071840923669016,4.777281060580089,0.5938238040742723
Asf,nqm,1,0.0008017960230917255,0.0025657472738935213,0.00016035920461834508,4.356067595503785,0.4985146052167505
Dyq,Hzn,3,0.001924310455420141,0.006735086593970494,0.0004810776138550353,3.614130250774408,0.47308577707826327
krh,sxT,1,0.005612572161642078,0.0006414368184733803,0.00016035920461834508,3.796451807568363,0.4344713741420904
Asf,Hzn,1,0.0008017960230917255,0.006735086593970494,0.00016035920461834508,3.3909866994601985,0.3880693673168653
Tgy,gDb,2,0.0062540089801154585,0.003367543296985247,0.00032071840923669016,2.723157326884543,0.3384928838051136
gDb,krh,1,0.003367543296985247,0.005612572161642078,0.00016035920461834508,2.1382237309648304,0.24470138163311556
bgy,krh,3,0.014432328415651058,0.005612572161642078,0.0004810776138550353,1.781548787026098,0.23320282718988466
bgy,gyZ,1,0.014432328415651058,0.001603592046183451,0.00016035920461834508,1.9356994668533563,0.2215242152194093
Tgy,krh,1,0.0062540089801154585,0.005612572161642078,0.00016035920461834508,1.519184522558607,0.173857649338684
bgy,gDb,1,0.014432328415651058,0.003367543296985247,0.00016035920461834508,1.193762122123979,0.1366158444482358
Hzn,bgy,1,0.006735086593970494,0.014432328415651058,0.00016035920461834508,0.5006149415640336,0.05729108983914618
