root,n,mean_drift,std_drift
Hrd,1,0.40103256702423096,
Tgy,39,0.23430050336397612,0.06439696265444654
$nA,3,0.23247098922729492,0.10790432175608979
sxT,4,0.22796599566936493,0.02925528430893852
mqt,6,0.22344785928726196,0.05175757901321101
Dyq,13,0.21792971170865572,0.05256073922656897
jrm,66,0.21674572518377594,0.052199996643924856
gyZ,11,0.2140604853630066,0.06437890526667397
Etw,10,0.20568655729293822,0.02298627773615685
krh,41,0.20444779425132564,0.03550582499247008
fsq,54,0.19609903075076915,0.03749574491019306
Aff,3,0.19365773598353067,0.04786994283828058
bgy,96,0.19131874231000742,0.04371084321370036
Zlm,315,0.1907240799495152,0.04234144090184225
Hzn,42,0.1904186805089315,0.04121098509483711
nqm,17,0.1853062019628637,0.054201675622988034
Edw,106,0.1772269572851793,0.05483447262253485
gDb,24,0.17210527757803598,0.05431262011055437
Asf,5,0.11660709381103515,0.056304320786062165
